country	consumption 2000	electricity 2000	Mortality 2000	consumption 2001	electricity 2001	Mortality 2001	consumption 2002	electricity 2002	Mortality 2002	consumption 2003	electricity 2003	Mortality 2003	consumption 2004	electricity 2004	Mortality 2004	consumption 2005	electricity 2005	Mortality 2005	consumption 2006	electricity 2006	Mortality 2006	consumption 2007	electricity 2007	Mortality 2007	consumption 2008	electricity 2008	Mortality 2008	consumption 2009	electricity 2009	Mortality 2009	consumption 2010	electricity 2010	Mortality 2010																							
Albania	0.09619	1444.72918	26.3	0.0916	1331.328163	25	0.09516	1541.534699	23.5	0.11449	1437.537761	22.2	0.11651	1741.197448	21	0.12092	1650.646126	19.7	0.11852	1155.037672	18.7	0.10319	1136.713186	17.8	0.10963	1498.712672	16.9	0.11511	1684.768769	15.8	0.12509	1770.44232	15																							
Algeria	1.23857	694.6721746	45.7	1.25615	719.8323528	43.6	1.27659	740.4144947	42.3	1.2927	795.0563308	40.7	1.26393	811.4570024	39	1.48134	897.7011959	37.7	1.54318	868.8620019	36.4	1.61954	901.1518552	34.9	1.72123	955.6167434	33.5	1.7988	867.0630711	32.1	1.79829	1026.327578	31.3																							
Angola	0.09094	88.60885745	199.3	0.1193	97.30165821	195.4	0.12741	101.2056433	191.2	0.13525	112.6463308	187.1	0.14463	102.8985816	183.3	0.14764	128.8129841	179.1	0.1659	171.4248829	175.6	0.1862	158.9695668	172	0.19718	207.3404737	167.4	0.20883	229.6401828	164.5	0.23924	247.8787241	161																							
Argentina	2.66876	2085.41894	20.3	2.61239	2119.075497	19.7	2.48186	2015.80887	19	2.66675	2185.243849	18.4	2.7809	2302.300699	17.8	2.95491	2421.617296	17.2	3.13524	2187.457158	16.7	3.27338	2378.984022	16.1	3.35163	2800.880429	15.5	3.30164	2758.766496	15	3.34874	2904.432048	14.5																							
Armenia	0.16247	1294.822207	29.8	0.1646	1262.961501	28.3	0.16393	1225.389709	27	0.17541	1302.051851	25.7	0.18063	1411.213696	24.7	0.20159	1479.474252	23.2	0.2038	1580.210591	22.3	0.22112	1691.507429	21.1	0.21598	1576.441328	20.2	0.20127	1550.41574	19.2	0.21196	1606.366217	18.3																							
Australia	4.83335	10193.91218	6.02	5.00345	10636.37769	6.06	5.07292	10813.12273	5.94	5.1165	10730.31957	5.76	5.41692	10868.07039	5.56	5.64958	10457.51858	5.86	5.72146	10509.37535	5.41	5.9419	10851.25163	5.08	5.7874	10625.53201	4.97	5.76642	10453.45007	4.95	5.81146	10177.49038	4.7																							
Austria	1.38594	7076.269483	5.65	1.43983	7333.231953	5.58	1.45087	7427.656445	4.85	1.4705	7695.080037	5.48	1.50963	7808.035423	5.11	1.55066	7978.046214	4.97	1.53621	8223.842346	4.38	1.5442	8180.307701	4.26	1.53367	8191.508477	4.38	1.47479	7955.745627	4.56	1.52707	8356.127956	4.65																							
Azerbaijan	0.52002	2040.47909	68.6	0.52053	2106.34678	66.4	0.59178	2102.191032	63.3	0.60157	2354.962898	61	0.63699	2437.368326	59.1	0.65892	2407.454852	56.8	0.69878	2513.627712	54.4	0.59244	2117.977463	52.9	0.71848	2040.760435	50.2	0.56673	1620.499186	49.1	0.55567	1603.431374	46.4																							
Bahrain	0.36474	8994.144405	16.9	0.37722	9654.324446	16.7	0.39762	10489.51049	16.6	0.40773	11534.94323	16.4	0.41884	11984.9351	16.3	0.44726	11666.55399	16.4	0.48868	11482.48111	16.3	0.51317	11626.46249	16.3	0.53474	9686.808399	16.3	0.54327	9214.434608	16.2	0.55759	9814.278412	16.2																							
Bangladesh	0.50385	103.0462657	84.4	0.55256	113.5249326	80	0.584	121.3482793	75.7	0.63488	127.7590715	71.7	0.6751	163.3516875	67.7	0.71835	174.5526902	64.1	0.78022	197.4029427	60.7	0.81363	206.200742	57.4	0.88801	228.6801537	54.3	0.96407	251.6286711	51.4	0.98901	278.8715161	48.7																							
Belarus	1.05214	2988.705647	13.475	0.96268	2996.81252	12.65	0.90747	2982.770781	11.913	0.98457	3039.102416	10.934	0.95177	3143.579566	10.065	1.12403	3208.297074	10.197	1.15433	3321.859748	9.273	1.15134	3344.56813	7.799	1.12029	3454.905228	6.655	1.05118	3298.622068	6.886	1.13123	3563.856691	5.962																							
Belgium	2.7338	8247.677113	5.96	2.70258	8267.187216	5.69	2.6794	8311.892679	5.36	2.78228	8411.900657	5.1	2.80785	8576.223497	4.63	2.77869	8509.997073	4.7	2.7376	8683.671285	4.91	2.73626	8614.491281	4.74	2.91486	8521.49674	4.5	2.65429	7903.029252	4.3	2.74807	8387.463593	4.4																							
Bolivia	0.16192	421.4392059	80.8	0.14481	419.7383678	77.1	0.157	432.6526581	74.2	0.19835	439.4327484	71.1	0.20213	449.0746157	68.1	0.20023	477.4422999	65.1	0.22594	507.9158366	62.4	0.23317	540.3922039	59.8	0.24958	539.2751817	57.3	0.22976	558.4522381	55.2	0.23258	616.424278	52.9																							
Bosnia and Herzegovina	0.22358	2061.890279	9.6	0.22112	2072.367456	9.3	0.2316	2082.95649	9	0.22736	2221.419155	8.8	0.25338	2311.338942	8.7	0.27251	2379.793076	8.8	0.27846	2374.399326	8.6	0.25997	2372.299376	8.5	0.29093	2970.724113	8.3	0.30239	2867.279439	8.1	0.32508	3109.717195	7.9																							
Botswana	0.05755	905.6131519	81.1	0.05139	1133.683283	80.8	0.05201	1245.504266	78.4	0.05007	1315.755683	72.1	0.05715	1363.751948	59.1	0.06134	1421.356494	46.1	0.06223	1439.840497	37.9	0.06069	1489.98205	34.2	0.06339	1512.15814	32.6	0.06514	1508.395338	30.1	0.0743	1586.49091	27.5																							
Brazil	8.53326	1901.323	35.7	8.44866	1751.091231	33.6	8.55386	1809.171725	31.5	8.66412	1884.089679	29.1	8.99638	1957.575403	26.8	9.35596	2017.318805	24.8	9.69969	2074.668608	22.9	10.12882	2171.402481	21.2	10.33828	2235.792851	19.6	10.42654	2204.59236	18.1	11.29911	2383.731288	16.8																							
Brunei	0.0649	7687.227094	9.6	0.07311	6795.315061	9.4	0.08476	6911.896014	9.1	0.09008	8025.323206	8.9	0.10042	8827.256049	8.7	0.11918	8671.992686	8.5	0.18266	8430.614852	8.2	0.18816	8555.996747	8	0.19556	8471.646369	7.8	0.12763	8661.764969	7.6	0.14779	8758.648351	7.4																							
Bulgaria	0.86773	3673.606871	19.62	0.90406	3853.729831	20.136	0.8746	3838.485459	18.96	0.88654	3973.256666	17.604	0.87492	3939.000877	17.544	0.91869	4121.629478	15.228	0.94058	4311.327935	14.412	0.84127	4455.750856	13.584	0.81712	4594.278533	12.888	0.72108	4400.583194	13.488	0.76948	4476.467521	13.776																							
Cambodia	0.03411	31.97570746	101.5	0.0398	35.79985086	94.5	0.04281	49.51257362	87.3	0.04672	50.82857097	80.8	0.05206	55.17675852	74.5	0.05528	66.32940982	68.7	0.06078	80.49787938	63.3	0.06562	100.659429	58	0.06871	115.1009894	53.7	0.06622	128.9893055	49.7	0.06118	146.0576288	46																							
