country,country_code,broadband 2000,population 2000,life 2000,child 2000,health 2000,electricity 2000,out_of_school 2000,roads 2000,gdp 2000,unemployment 2000,eiti_gov 2000,eiti_company 2000,coal 2000,oil 2000,gas 2000,btu_total_production 2000,us_total_production 2000,consumption 2000,broadband 2001,population 2001,life 2001,child 2001,health 2001,electricity 2001,out_of_school 2001,roads 2001,gdp 2001,unemployment 2001,eiti_gov 2001,eiti_company 2001,coal 2001,oil 2001,gas 2001,btu_total_production 2001,us_total_production 2001,consumption 2001,broadband 2002,population 2002,life 2002,child 2002,health 2002,electricity 2002,out_of_school 2002,roads 2002,gdp 2002,unemployment 2002,eiti_gov 2002,eiti_company 2002,coal 2002,oil 2002,gas 2002,btu_total_production 2002,us_total_production 2002,consumption 2002,broadband 2003,population 2003,life 2003,child 2003,health 2003,electricity 2003,out_of_school 2003,roads 2003,gdp 2003,unemployment 2003,eiti_gov 2003,eiti_company 2003,coal 2003,oil 2003,gas 2003,btu_total_production 2003,us_total_production 2003,consumption 2003,broadband 2004,population 2004,life 2004,child 2004,health 2004,electricity 2004,out_of_school 2004,roads 2004,gdp 2004,unemployment 2004,eiti_gov 2004,eiti_company 2004,coal 2004,oil 2004,gas 2004,btu_total_production 2004,us_total_production 2004,consumption 2004,broadband 2005,population 2005,life 2005,child 2005,health 2005,electricity 2005,out_of_school 2005,roads 2005,gdp 2005,unemployment 2005,eiti_gov 2005,eiti_company 2005,coal 2005,oil 2005,gas 2005,btu_total_production 2005,us_total_production 2005,consumption 2005,broadband 2006,population 2006,life 2006,child 2006,health 2006,electricity 2006,out_of_school 2006,roads 2006,gdp 2006,unemployment 2006,eiti_gov 2006,eiti_company 2006,coal 2006,oil 2006,gas 2006,btu_total_production 2006,us_total_production 2006,consumption 2006,broadband 2007,population 2007,life 2007,child 2007,health 2007,electricity 2007,out_of_school 2007,roads 2007,gdp 2007,unemployment 2007,eiti_gov 2007,eiti_company 2007,coal 2007,oil 2007,gas 2007,btu_total_production 2007,us_total_production 2007,consumption 2007,broadband 2008,population 2008,life 2008,child 2008,health 2008,electricity 2008,out_of_school 2008,roads 2008,gdp 2008,unemployment 2008,eiti_gov 2008,eiti_company 2008,coal 2008,oil 2008,gas 2008,btu_total_production 2008,us_total_production 2008,consumption 2008,broadband 2009,population 2009,life 2009,child 2009,health 2009,electricity 2009,out_of_school 2009,roads 2009,gdp 2009,unemployment 2009,eiti_gov 2009,eiti_company 2009,coal 2009,oil 2009,gas 2009,btu_total_production 2009,us_total_production 2009,consumption 2009,broadband 2010,population 2010,life 2010,child 2010,health 2010,electricity 2010,out_of_school 2010,roads 2010,gdp 2010,unemployment 2010,eiti_gov 2010,eiti_company 2010,coal 2010,oil 2010,gas 2010,btu_total_production 2010,us_total_production 2010,consumption 2010
Canada,CA,4.5854590717,"30,667,365",79.41,5.87,1469.88202793,16990.5783937,4600,,23559.5036898,0.6999999881,,,76239.16056,2753.14455,6469.708,14413931.8195,39497419305.6,13.30484,9.1242813342,"30,967,236",79.65,6.04,1503.86073999,16807.1449944,4600,,23738.8953753,0.6999999881,,,77553.1157,2816.36185,6596.842,14711385.066,45525798184.4,12.87242,11.2078311332,"31,281,727",79.77,6.18,1563.67624541,16959.6007908,4600,,24214.9292815,0.6999999881,,,73312.5239,2953.69968,6631.4507,14919472.6991,36302957427.3,13.09648,14.2473797197,"31,608,562",79.95,6.15,1878.21632391,17191.1541861,4600,,24425.8753884,0.6999999881,,,68513.06024,3113.64521,6453.4631,14947376.5638,51978210352.5,13.52567,16.9276449445,"31,943,605",80.25,6.05,2132.40338688,17235.4117831,4600,39.8699989319,24936.825391,0.6999999881,,,72749.24279,3139.35779,6482.91581,15148642.3455,55193106341.3,14.11424,21.6761574647,"32,283,413",80.36,6.18,2425.79012568,17319.2312454,4600,39.8699989319,25437.6513363,0.6000000238,,,72030.53579,3096.3287,6560.85602,15115519.3959,65585487710.3,14.17242,24.6929694475,"32,627,978",80.78,5.76,2729.81930623,16761.0437034,4600,39.8699989319,25943.7360201,0.5,,,72756.95897,3292.5916,6547.93073,15538489.1685,89120966924.7,13.8183,27.5596586222,"32,977,334",80.592,5.88,3047.98563596,16846.750625,4600,39.8699989319,26229.7430815,0.400000006,,,76460.72514,3448.56255,6415.74668,15839316.1004,98306774912.4,14.02585,29.5395241492,"33,327,954",80.743,5.8,3258.48652902,16449.2448145,4600,39.8699989319,26101.7640711,0.400000006,,,74680.4923,3343.57681,6045.75143,15197601.3599,1.29448498655e+11,13.54625,30.460949982,"33,675,448",80.753,5.7,3191.40574742,15118.5202117,4600,39.8699989319,25069.8691496,0.400000006,,,69377.27235,3318.82898,5633.66069,14586184.3868,68303217795.2,13.09711,29.7097257223,"34,016,593",80.885,5.6,3681.42613478,15137.5860076,4600,39.8699989319,25575.216975,0.400000006,,,74842.53207,3441.73001,5389.7753,14754046.378,1.08331803087e+11,13.00072
Sao Tome and Principe,ST,0,"141,010",62.401,92.5,19.65152003,,,68.0999984741,543.999039312,,,,0.0,0.0,0.0,0.0,0.0,0.00138,0,"143,430",62.55,92.3,19.09655648,,,68.0999984741,543.999039312,,,,0.0,0.0,0.0,0.0,0.0,0.00132,0,"145,761",62.709,91.3,21.38432091,,383,68.0999984741,543.999039312,,,,0.0,0.0,0.0,0.0,0.0,0.00139,0,"148,038",62.88,91,39.91569675,,188,68.0999984741,543.999039312,,,,0.0,0.0,0.0,0.0,0.0,0.0014,0,"150,311",63.064,90.2,36.98282916,,126,68.0999984741,543.999039312,,,,0.0,0.0,0.0,0.0,0.0,0.00138,0,"152,622",63.262,90.8,43.27685393,,157,68.0999984741,543.999039312,,,,0.0,0.0,0.0,0.0,0.0,0.00141,0.0806607731,"154,970",63.475,90.2,32.3140711,,157,68.0999984741,543.999039312,,,,0.0,0.0,0.0,0.0,0.0,0.00158,0.1957282935,"157,361",63.701,89.6,32.9850024,,1262,68.0999984741,543.999039312,,,,0.0,0.0,0.0,0.0,0.0,0.00194,0.1957282935,"159,852",63.935,89.7,35.59100619,,693,68.0999984741,543.999039312,,,,0.0,0.0,0.0,0.0,0.0,0.00196,0.1957282935,"162,515",64.176,89.1,37.30462157,,550,68.0999984741,543.999039312,,,,0.0,0.0,0.0,0.0,0.0,0.00196,0.3527272727,"165,397",64.421,89.1,34.44734077,,354,68.0999984741,543.999039312,,,,0.0,0.0,0.0,0.0,0.0,0.00195
Turkmenistan,TM,,"4,501,419",63.92,71.4,35.86475902,1697.68688496,,81.1999969482,645.27710147,,,,0.0,156.63607,1642.1475,1973973.18249,2147683410.31,0.40112,,"4,551,737",64.044,69.3,42.92528663,1787.6691909,,81.1999969482,665.863748615,,,,0.0,167.8753,1702.183,2057818.42929,2602203378.23,0.50227,,"4,600,093",64.153,67.7,45.98571236,1780.18140068,,81.1999969482,660.558683901,,,,0.0,192.56792,1889.3525,2297298.01012,2244456600.0,0.58452,,"4,647,912",64.253,65.5,66.57246174,1749.17253167,,81.1999969482,675.133055128,,,,0.0,200.00085,2087.1165,2510808.30068,3229780472.59,0.75923,,"4,696,771",64.345,63.8,73.18861115,1916.42300636,,81.1999969482,701.518077159,,,,0.0,213.94316,2068.39955,2521627.4373,3619003247.02,0.80707,,"4,747,839",64.43,62.2,73.11018436,2054.61895401,,81.1999969482,784.469049002,,,,0.0,196.65006,2224.845,2641438.31961,4010285885.86,0.83243,,"4,801,847",64.508,60.2,68.86366881,2119.18455544,,81.1999969482,860.711680873,,,,0.0,177.21151,2231.908,2607321.72336,4654266852.46,0.84142,,"4,858,843",64.582,58.7,74.17088586,2259.59142948,,81.1999969482,944.669239723,,,,0.0,180.73092,2432.4972,2815366.61747,5000858461.66,0.89993,0.0015248874,"4,918,396",64.658,57.3,41.10773108,2324.74164341,,81.1999969482,1070.41593491,,,,0.0,189.36351,2489.7075,2890864.62776,7129722822.96,0.93194,0.0093379644,"4,979,672",64.742,55.4,54.68129555,2366.82255377,,81.1999969482,1121.73612021,,,,0.0,197.64378,1347.26725,1765965.71574,3841936135.47,0.88651,0.0143395478,"5,041,995",64.847,54,62.99335327,2403.4137281,,81.1999969482,1209.7946786,,,,0.0,201.87058,1599.7695,2027422.2302,6092007950.22,0.92312
Saint Helena,SH,,"5,059",,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.00031,,"4,986",,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.00018,,"4,901",,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.00018,,"4,805",,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.00018,,"4,702",,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.00013,,"4,598",,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.00018,,"4,493",,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.00016,,"4,388",,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.00018,,"4,288",,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.00014,,"4,197",,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.00013,,"4,118",,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.00013
Serbia and Montenegro,CS,,"10,850,210",,,,,,,,,,,44659.04242,18.74295,19.17604,1295937.51746,1334770110.17,0.6587,,"10,858,358",,,,,,,,,,,44890.52781,18.1593,21.25963,1303196.81942,1419189424.15,0.70203,,"10,831,812",,,,,,,,,,,47124.91293,17.16277,21.189,1362907.55827,1451676884.1,0.77788,,"10,823,280",,,,,,,,,,,49480.55231,16.55189,11.65395,1417329.60036,1589074519.83,0.78073,,"10,825,900",,,,,,,,,,,49786.99486,16.41191,8.4756,1422343.16836,1798262790.41,0.79528,,"10,829,175",,,,,,,,,,,45201.37961,15.58606,8.82875,1293925.254,1980029556.09,0.76979,,"10,832,545",,,,,,,,,,,,,,,,,,"10,835,426",,,,,,,,,,,,,,,,,,"10,837,664",,,,,,,,,,,,,,,,,,"10,837,664",,,,,,,,,,,,,,,,,,"10,837,664",,,,,,,,,,,,,,,,
Lithuania,LT,0,"3,500,028",72.18,12.177,147.9497071,2516.90509828,4210,,3267.34744263,8.5,,,0.0,9.55052,0.0,20232.299094,130534476.569,0.2973,0.0697154964,"3,479,622",71.79,11.33,159.63864074,2687.79522085,3662,,3505.70276782,9.6000003815,,,0.0,13.48161,0.0,28560.1167045,208373058.264,0.31679,0.576523391,"3,462,402",71.98,10.956,196.67399367,2827.55897114,4195,,3759.51623922,9.6000003815,,,0.0,13.43742,0.0,28466.502399,156196651.717,0.34054,1.9335852968,"3,447,170",72.24,9.625,266.84992817,3052.80086156,9678,,4162.57865413,9.6000003815,,,0.0,12.36198,0.0,26188.236531,198963319.324,0.35264,3.7562969515,"3,432,060",72.23,10.659,252.69583546,3142.39966282,14512,,4492.77140381,9.6000003815,,,0.0,11.41084,0.0,24173.293998,192400405.494,0.35316,6.8558921525,"3,415,748",71.7,9.713,302.23280975,3101.36414332,15146,28.2999992371,4873.50423395,9.6000003815,,,0.0,9.83302,0.0,20830.761219,199709388.91,0.35257,10.8634676475,"3,397,895",71.47,9.537,383.74074784,3230.62318471,12292,28.3894278856,5287.13655121,9.6000003815,,,0.0,8.37471,0.0,17741.4043995,219299718.499,0.35277,15.0364170353,"3,379,043",71.39,8.008,529.00975321,3411.81970235,8390,28.6055875612,5839.14560238,9.6000003815,,,0.0,7.61921,0.0,16140.9154245,210221984.166,0.38586,15.8028536843,"3,359,799",71.84,7.26,676.4639561,3555.86392962,5485,29.22,6041.40901964,9.6000003815,,,0.0,10.04207,0.0,21273.6231915,377124728.688,0.37472,16.8975126488,"3,341,097",71.71,6.809,613.52534534,3430.79830966,4415,29.43,5179.58164444,9.6000003815,,,0.0,9.45376,0.0,20027.317872,183553468.995,0.32429,20.810982659,"3,323,611",71.943,5.918,574.23778454,3270.63848948,5495,29.43,5332.53060709,9.6000003815,,,0.0,9.71077,0.0,20571.7807065,292738677.763,0.26217
Cambodia,KH,,"12,446,949",57.631,101.5,3.80777278,31.9757074605,178641,,293.568465355,,,,0.0,0.0,0.0,0.0,0.0,0.03411,0,"12,653,684",58.06,94.5,5.26635134,35.7998508577,178641,,311.98549494,,,,0.0,0.0,0.0,0.0,0.0,0.0398,0.0003892498,"12,845,222",58.538,87.3,6.58007492,49.5125736247,178641,,327.887501112,,,,0.0,0.0,0.0,0.0,0.0,0.04281,0.0032170954,"13,024,171",59.051,80.8,8.41755226,50.8285709701,74274,,350.888985212,,,,0.0,0.0,0.0,0.0,0.0,0.04672,0.0059117956,"13,193,961",59.588,74.5,9.25904436,55.1767585185,74274,6.2899999619,382.190325761,,,,0.0,0.0,0.0,0.0,0.0,0.05206,0.0074863894,"13,357,574",60.138,68.7,7.21796047,66.3294098165,74274,6.2899999619,427.529252725,,,,0.0,0.0,0.0,0.0,0.0,0.05528,0.0214562362,"13,515,884",60.686,63.3,7.98475091,80.497879384,91071,6.2899999619,468.031826969,,,,0.0,0.0,0.0,0.0,0.0,0.06078,0.0618148383,"13,669,857",61.221,58,10.2874399,100.65942899,61071,6.2899999619,510.019766338,,,,0.0,0.0,0.0,0.0,0.0,0.06562,0.1200493914,"13,822,644",61.736,53.7,12.65904548,115.100989362,75260,6.2899999619,538.133455544,,,,0.0,0.0,0.0,0.0,0.0,0.06871,0.2146244683,"13,977,903",62.224,49.7,14.97304379,128.989305477,75260,6.2899999619,532.617522862,,,,0.0,0.6,0.0,1271.07,11649553.3414,0.06622,0.2522526346,"14,138,255",62.686,46,16.82139011,146.057628753,72886,6.2899999619,557.976913034,,,,0.0,0.081,0.0,171.59445,2441807.6938,0.06118
Ethiopia,ET,,"65,577,897",51.731,138.6,2.84813615,22.9803038667,6342774,12,123.680916754,,,,0.0,0.0,0.0,0.0,0.0,0.06451,0,"67,303,731",52.304,131.5,3.22993665,26.9078693423,6108148,12,130.513441183,,,,0.0,0.0,0.0,0.0,0.0,0.06956,0,"69,040,669",52.942,124.6,2.86462516,26.6509584373,6083679,12,129.157132957,,,,0.0,0.0,0.0,0.0,0.0,0.0745,8.0526659043E-005,"70,784,012",53.643,118.2,3.43005665,29.187382032,6167228,12.8999996185,123.253667656,,,,0.0,0.0,0.0,0.0,0.0,0.08134,4.825814301E-005,"72,526,620",54.397,112.4,3.42651674,31.5056733652,5940477,19.1399993896,136.618729766,,,,0.0,0.0,0.0,0.0,0.0,0.08518,8.2139548333E-005,"74,263,861",55.185,106.6,4.14290811,34.4716793004,4613002,11.047911258,149.191869673,,,,0.0,0.0,0.0,0.0,0.0,0.09097,0.0003434509,"75,993,403",55.98,100.9,4.60563612,38.713886783,3947291,11.6315475599,161.5928951,,,,0.0,0.0,0.0,0.0,0.0,0.10302,0.001333017,"77,718,436",56.753,95.8,6.69566501,41.3286752194,3159859,13.6747897834,176.107403869,,,,0.0,0.0,0.0,0.0,0.0,0.11177,0.0018830301,"79,446,419",57.481,90.3,7.28726668,43.0352940137,2261003,13.6747897834,190.863215087,,,,0.0,0.1,0.0,211.845,3755448.11665,0.13166,0.0043085317,"81,187,751",58.148,85.8,8.32716506,44.5017869752,2208604,13.6747897834,203.20990429,,,,0.0,0.1,0.0,211.845,1941592.22357,0.13029,0.0049511754,"82,949,541",58.746,81.5,8.41369793,54.2739591531,2389945,13.6747897834,218.658639169,,,,0.0,0.1,0.0,211.845,3014577.39976,0.13678
Aruba,AW,,"90,271",73.807,,,,107,,20589.7718336,,,,0.0,2.35606,0.0,4991.195307,32202127.0952,0.01349,0,"92,363",73.883,,,,293,,19983.9774561,,,,0.0,2.36251,0.0,5004.8593095,36515181.338,0.01353,0,"94,596",73.977,,,,375,,19009.1706461,,,,0.0,2.36251,0.0,5004.8593095,27461830.5931,0.01353,1.4441290323,"96,875",74.089,,,,528,,18853.1299028,,,,0.0,2.36251,0.0,5004.8593095,38024073.1288,0.01442,7.0300668376,"99,046",74.216,,,,485,,18853.1299028,,,,0.0,2.35606,0.0,4991.195307,39725988.566,0.01452,12.1529565527,"100,996",74.356,,,,235,,18853.1299028,,,,0.0,2.35094,0.0,4980.348843,47747771.3626,0.01487,13.5847182872,"102,711",74.505,,,,158,,18853.1299028,,,,0.0,2.23502,0.0,4734.778119,58526116.945,0.01597,15.3475653634,"104,225",74.659,,,,121,,18853.1299028,,,,0.0,2.47712,0.0,5247.654864,68346335.3048,0.01461,17.4326706215,"105,526",74.811,,,,225,,18853.1299028,,,,0.0,2.46486,0.0,5221.682667,92566538.448,0.01407,17.6340374442,"106,612",74.961,,,,473,,18853.1299028,,,,0.0,2.81073,0.0,5954.3909685,54572915.1056,0.01449,17.7935185185,"107,488",75.106,,,,26,,18853.1299028,,,,0.0,2.81073,0.0,5954.3909685,84731631.3482,0.01517
Swaziland,SZ,0,"1,063,832",48.693,114.2,42.3947245,,62998,,1508.18365986,,,,383.8796,0.0,0.0,10633.46492,9270692.34,0.01637,0,"1,075,083",47.462,118.1,36.55738802,,61594,,1523.65079886,,,,496.04011,0.0,0.0,13740.311047,12579577.1896,0.0165,0,"1,082,777",46.551,121.8,34.52024706,,61147,29.9899997711,1548.70018907,,,,561.96439,0.0,0.0,15566.413603,14931393.8423,0.0166,0,"1,088,724",45.988,125,63.63768054,,59877,29.9899997711,1581.32037927,,,,452.50984,0.0,0.0,12534.522568,12095588.0232,0.01529,0,"1,095,487",45.778,127.1,68.92683821,,53484,29.9899997711,1625.15596547,,,,488.70974,0.0,0.0,13537.259798,14934969.6544,0.01457,0,"1,104,909",45.896,128.2,82.0100062,,50715,29.9899997711,1663.0105007,,,,497.0743,0.0,0.0,13768.95811,18292334.24,0.01435,0,"1,117,604",46.279,124.6,97.62497814,,37714,29.9899997711,1715.68460885,,,,488.91323,0.0,0.0,13542.896471,19224068.2036,0.01595,0,"1,133,007",46.814,120.6,97.87603725,,31734,29.9899997711,1773.45658897,,,,508.95865,0.0,0.0,14098.154605,20765512.92,0.01813,0.0748245452,"1,150,344",47.391,119,104.26309583,,31734,29.9899997711,1794.77905902,,,,524.20417,0.0,0.0,14520.455509,26938852.2963,0.01825,0.1441290875,"1,168,345",47.942,115.3,112.19151018,,37775,29.9899997711,1795.97973952,,,,530.68576,0.0,0.0,14699.995552,29421218.5344,0.0174,0.1539772727,"1,186,056",48.399,109.2,129.3058133,,29972,29.9899997711,1811.07776029,,,,530.68576,0.0,0.0,14699.995552,32308149.0688,0.01729
