country,country_code,broadband 2000,population 2000,life 2000,child 2000,health 2000,electricity 2000,out_of_school 2000,roads 2000,gdp 2000,unemployment 2000,eiti_gov 2000,eiti_company 2000,coal 2000,oil 2000,gas 2000,btu_total_production 2000,us_total_production 2000,consumption 2000,broadband 2001,population 2001,life 2001,child 2001,health 2001,electricity 2001,out_of_school 2001,roads 2001,gdp 2001,unemployment 2001,eiti_gov 2001,eiti_company 2001,coal 2001,oil 2001,gas 2001,btu_total_production 2001,us_total_production 2001,consumption 2001,broadband 2002,population 2002,life 2002,child 2002,health 2002,electricity 2002,out_of_school 2002,roads 2002,gdp 2002,unemployment 2002,eiti_gov 2002,eiti_company 2002,coal 2002,oil 2002,gas 2002,btu_total_production 2002,us_total_production 2002,consumption 2002,broadband 2003,population 2003,life 2003,child 2003,health 2003,electricity 2003,out_of_school 2003,roads 2003,gdp 2003,unemployment 2003,eiti_gov 2003,eiti_company 2003,coal 2003,oil 2003,gas 2003,btu_total_production 2003,us_total_production 2003,consumption 2003,broadband 2004,population 2004,life 2004,child 2004,health 2004,electricity 2004,out_of_school 2004,roads 2004,gdp 2004,unemployment 2004,eiti_gov 2004,eiti_company 2004,coal 2004,oil 2004,gas 2004,btu_total_production 2004,us_total_production 2004,consumption 2004,broadband 2005,population 2005,life 2005,child 2005,health 2005,electricity 2005,out_of_school 2005,roads 2005,gdp 2005,unemployment 2005,eiti_gov 2005,eiti_company 2005,coal 2005,oil 2005,gas 2005,btu_total_production 2005,us_total_production 2005,consumption 2005,broadband 2006,population 2006,life 2006,child 2006,health 2006,electricity 2006,out_of_school 2006,roads 2006,gdp 2006,unemployment 2006,eiti_gov 2006,eiti_company 2006,coal 2006,oil 2006,gas 2006,btu_total_production 2006,us_total_production 2006,consumption 2006,broadband 2007,population 2007,life 2007,child 2007,health 2007,electricity 2007,out_of_school 2007,roads 2007,gdp 2007,unemployment 2007,eiti_gov 2007,eiti_company 2007,coal 2007,oil 2007,gas 2007,btu_total_production 2007,us_total_production 2007,consumption 2007,broadband 2008,population 2008,life 2008,child 2008,health 2008,electricity 2008,out_of_school 2008,roads 2008,gdp 2008,unemployment 2008,eiti_gov 2008,eiti_company 2008,coal 2008,oil 2008,gas 2008,btu_total_production 2008,us_total_production 2008,consumption 2008,broadband 2009,population 2009,life 2009,child 2009,health 2009,electricity 2009,out_of_school 2009,roads 2009,gdp 2009,unemployment 2009,eiti_gov 2009,eiti_company 2009,coal 2009,oil 2009,gas 2009,btu_total_production 2009,us_total_production 2009,consumption 2009,broadband 2010,population 2010,life 2010,child 2010,health 2010,electricity 2010,out_of_school 2010,roads 2010,gdp 2010,unemployment 2010,eiti_gov 2010,eiti_company 2010,coal 2010,oil 2010,gas 2010,btu_total_production 2010,us_total_production 2010,consumption 2010
Cambodia,KH,,"12,446,949",57.631,101.5,3.80777278,31.9757074605,178641,,293.568465355,,,,0.0,0.0,0.0,0.0,0.0,0.03411,0,"12,653,684",58.06,94.5,5.26635134,35.7998508577,178641,,311.98549494,,,,0.0,0.0,0.0,0.0,0.0,0.0398,0.0003892498,"12,845,222",58.538,87.3,6.58007492,49.5125736247,178641,,327.887501112,,,,0.0,0.0,0.0,0.0,0.0,0.04281,0.0032170954,"13,024,171",59.051,80.8,8.41755226,50.8285709701,74274,,350.888985212,,,,0.0,0.0,0.0,0.0,0.0,0.04672,0.0059117956,"13,193,961",59.588,74.5,9.25904436,55.1767585185,74274,6.2899999619,382.190325761,,,,0.0,0.0,0.0,0.0,0.0,0.05206,0.0074863894,"13,357,574",60.138,68.7,7.21796047,66.3294098165,74274,6.2899999619,427.529252725,,,,0.0,0.0,0.0,0.0,0.0,0.05528,0.0214562362,"13,515,884",60.686,63.3,7.98475091,80.497879384,91071,6.2899999619,468.031826969,,,,0.0,0.0,0.0,0.0,0.0,0.06078,0.0618148383,"13,669,857",61.221,58,10.2874399,100.65942899,61071,6.2899999619,510.019766338,,,,0.0,0.0,0.0,0.0,0.0,0.06562,0.1200493914,"13,822,644",61.736,53.7,12.65904548,115.100989362,75260,6.2899999619,538.133455544,,,,0.0,0.0,0.0,0.0,0.0,0.06871,0.2146244683,"13,977,903",62.224,49.7,14.97304379,128.989305477,75260,6.2899999619,532.617522862,,,,0.0,0.6,0.0,1271.07,11649553.3414,0.06622,0.2522526346,"14,138,255",62.686,46,16.82139011,146.057628753,72886,6.2899999619,557.976913034,,,,0.0,0.081,0.0,171.59445,2441807.6938,0.06118
Ethiopia,ET,,"65,577,897",51.731,138.6,2.84813615,22.9803038667,6342774,12,123.680916754,,,,0.0,0.0,0.0,0.0,0.0,0.06451,0,"67,303,731",52.304,131.5,3.22993665,26.9078693423,6108148,12,130.513441183,,,,0.0,0.0,0.0,0.0,0.0,0.06956,0,"69,040,669",52.942,124.6,2.86462516,26.6509584373,6083679,12,129.157132957,,,,0.0,0.0,0.0,0.0,0.0,0.0745,8.0526659043E-005,"70,784,012",53.643,118.2,3.43005665,29.187382032,6167228,12.8999996185,123.253667656,,,,0.0,0.0,0.0,0.0,0.0,0.08134,4.825814301E-005,"72,526,620",54.397,112.4,3.42651674,31.5056733652,5940477,19.1399993896,136.618729766,,,,0.0,0.0,0.0,0.0,0.0,0.08518,8.2139548333E-005,"74,263,861",55.185,106.6,4.14290811,34.4716793004,4613002,11.047911258,149.191869673,,,,0.0,0.0,0.0,0.0,0.0,0.09097,0.0003434509,"75,993,403",55.98,100.9,4.60563612,38.713886783,3947291,11.6315475599,161.5928951,,,,0.0,0.0,0.0,0.0,0.0,0.10302,0.001333017,"77,718,436",56.753,95.8,6.69566501,41.3286752194,3159859,13.6747897834,176.107403869,,,,0.0,0.0,0.0,0.0,0.0,0.11177,0.0018830301,"79,446,419",57.481,90.3,7.28726668,43.0352940137,2261003,13.6747897834,190.863215087,,,,0.0,0.1,0.0,211.845,3755448.11665,0.13166,0.0043085317,"81,187,751",58.148,85.8,8.32716506,44.5017869752,2208604,13.6747897834,203.20990429,,,,0.0,0.1,0.0,211.845,1941592.22357,0.13029,0.0049511754,"82,949,541",58.746,81.5,8.41369793,54.2739591531,2389945,13.6747897834,218.658639169,,,,0.0,0.1,0.0,211.845,3014577.39976,0.13678
Czech Republic,CZ,,,,,326.42995271,5694.23349463,,,5724.83747264,,,,71828.81281,9.36243,7.73399,2017225.94467,1862661627.86,1.40621,,,,,362.9827796,5880.72611992,,,5922.82176147,,,,72869.39473,9.24546,5.6504,2043718.67876,1990891485.85,1.45203,,,,,472.80924195,5889.64877789,,,6068.8597794,,,,69838.03849,12.47535,5.4032,1966345.27138,2000627517.11,1.45139,,,,,598.23219608,6066.89563866,,,6295.88499124,,,,70444.30974,15.34589,5.93292,1989749.80047,2129995819.16,1.51756,,,,,687.24855096,6218.86261729,,,6588.89579211,,,,68122.84202,17.16676,7.59273,1930962.37668,2371328973.75,1.51531,,,,,769.4165322,6342.13470566,,,7020.19040844,,,,68371.96439,17.54448,7.09832,1938168.83726,2872470052.05,1.55617,,,,,839.00374576,6509.31227502,,,7488.66901849,,,,69338.69145,15.83179,6.85111,1961071.71869,3141010181.95,1.58825,,,,,971.50028954,6495.93193835,,,7868.3162683,,,,69033.3512,13.74412,7.09832,1948438.37925,3195817133.3,1.64613,,,,,1216.59905993,6464.3925522,,,8041.9745344,,,,66359.14384,10.90856,7.02769,1868285.2133,3819913296.26,1.61534,,,,,1254.76502811,6114.03754184,,,7633.49347799,,,,62189.09997,10.38968,6.28607,1750934.15676,3649509916.74,1.53063,,,,,1238.41096852,6321.03752622,,,7799.50950645,,,,60857.50785,10.28301,7.16895,1714705.95998,4015023335.94,1.59118
Lebanon,LB,,"3,742,329",70.645,19,148.3832111,2610.40651423,,,4612.19867159,,,,0.0,0.0,0.0,0.0,0.0,0.23433,0,"3,802,903",70.8,17.8,161.5986688,2633.25149235,,,4718.17349796,,,,0.0,0.0,0.0,0.0,0.0,0.22499,0.9047425051,"3,868,504",70.963,16.6,185.85733602,2772.13103567,,,4794.64997107,,,,0.0,0.0,0.0,0.0,0.0,0.22859,1.7787169403,"3,935,421",71.135,15.6,170.29465764,2818.50404315,,,4865.70502322,,,,0.0,0.0,0.0,0.0,0.0,0.23803,2.0009794795,"3,998,042",71.315,14.6,194.57661054,2784.6130681,,,5147.69066924,,,,0.0,0.0,0.0,0.0,0.0,0.22844,3.2079596883,"4,052,420",71.502,13.7,198.186917,2788.70403364,,,5129.40177317,,,,0.0,0.0,0.0,0.0,0.0,0.21854,4.6370224263,"4,097,457",71.694,12.8,189.99898515,2686.30030773,57869,,5103.49017518,,,,0.0,0.0,0.0,0.0,0.0,0.19424,4.643432735,"4,134,872",71.887,12,212.28328415,2772.03260464,57320,,5436.65188512,,,,0.0,0.0,0.0,0.0,0.0,0.17922,4.6797210886,"4,166,915",72.079,11.2,241.01832757,2937.18494378,55422,,5895.08220553,,,,0.0,0.0,0.0,0.0,0.0,0.18233,4.6938401092,"4,196,990",72.268,10.6,258.62241377,3130.10038146,47159,,6350.33024103,,,,0.0,0.0,0.0,0.0,0.0,0.28324,4.731488053,"4,227,597",72.455,9.9,254.95531389,3568.93052957,29847,,6745.65990906,,,,0.0,0.0,0.0,0.0,0.0,0.27604
Russia,RU,0,"146,757,517",65.38,23.196,57.45885249,5208.84739206,,,1775.1412908,,,,,,,,,,0,"146,161,742",65.3,22.392,69.82822769,5275.33548388,,,1870.04862445,,,,,,,,,,0.0075705598,"145,519,641",65.01,20.616,83.73846319,5304.66375002,,,1967.51860243,,,,,,,,,,0.2372069933,"144,880,469",64.92,19.104,97.98340427,5479.99330438,,,2121.28903277,,,,,,,,,,0.4692401793,"144,306,982",65.29,17.424,126.5747251,5642.37332272,,,2285.36323059,,,,,,,,,,1.1100244499,"143,843,159",65.33,16.476,171.58584403,5784.96681802,,84.4000015259,2442.96296614,,,,,,,,,,2.0350877193,"143,510,059",66.65,15.576,231.38336525,6122.05614035,310306,80.9199981689,2654.20019418,,,,,,,,,,3.4482758621,"143,294,533",67.57,14.448,313.18297437,6317.24137931,286193,80.06,2888.84735487,,,,,,,,,,6.5375132089,"143,163,100",67.89,13.14,360.58176213,6435.40683339,259741,80.06,3043.6655988,,,,,,,,,,9.0941135002,"143,064,078",68.16,12.324,301.57999229,6132.97864844,220707,80.06,2806.41482956,,,,,,,,,,11.0758377425,"142,958,164",68.526,11.544,326.09202964,6451.87429538,220707,80.06,2928.00503306,,,,,,,,,
Panama,PA,,"2,956,126",74.194,25.7,207.73810047,1298.32084289,5002,34.5999984741,3930.98940979,2.0999999046,,,0.0,1.30457,0.0,2763.6663165,17830585.3606,0.20637,0.2579469468,"3,012,635",74.385,25.1,203.01164927,1305.50166217,3112,34.5999984741,3879.40569808,3.5999999046,,,0.0,2.19515,0.0,4650.3155175,33928449.1131,0.20344,0.3986480829,"3,069,123",74.572,24.5,221.69192252,1335.56067971,3814,34.5999984741,3892.88035581,3.5999999046,,,0.0,0.13995,0.0,296.4770775,1626779.65024,0.20284,0.4811610061,"3,125,565",74.752,23.9,208.82611059,1398.46715714,3814,34.5999984741,3983.35079559,3.5999999046,,,0.0,0.0,0.0,0.0,0.0,0.19682,0.5262779116,"3,181,969",74.927,23.3,253.49108067,1463.2449279,4501,34.5999984741,4207.06094691,3.5999999046,,,0.0,0.0,0.0,0.0,0.0,0.2272,0.5424724726,"3,238,321",75.097,22.7,248.58560964,1496.45448984,3642,34.5999984741,4431.12808725,3.5999999046,,,0.0,0.0,0.0,0.0,0.0,0.22021,3.4219201641,"3,294,583",75.266,22.2,245.55452221,1502.76984978,3743,34.1226344721,4726.8801513,3.5999999046,,,0.0,0.0,0.0,0.0,0.0,0.2299,4.4851586532,"3,350,673",75.434,21.7,255.23215472,1605.64758184,4077,36.65,5210.71907616,3.5999999046,,,0.0,0.0,0.0,0.0,0.0,0.23553,5.7593057012,"3,406,487",75.605,21.1,340.87913469,1660.65509717,4579,38.14,5643.89578572,3.5999999046,,,0.0,0.0,0.0,0.0,0.0,0.23881,6.7568078925,"3,461,901",75.779,20.6,421.82063134,1749.61675681,11689,41.96,5767.71064378,3.5999999046,,,0.0,0.0,0.0,0.0,0.0,0.25028,7.8373329542,"3,516,820",75.953,20,462.91904192,1832.33716824,5457,41.96,6109.58736999,3.5999999046,,,0.0,0.0,0.0,0.0,0.0,0.27683
Haiti,HT,,"8,645,371",58.4,102,7.11900681,35.0476572954,,24.2999992371,423.868894183,,,,0.0,0.0,0.0,0.0,0.0,0.02408,0,"8,791,931",58.617,98.5,5.87583233,34.4634187871,,24.2999992371,412.457077111,,,,0.0,0.0,0.0,0.0,0.0,0.02601,0,"8,935,252",58.87,95.3,4.29299397,29.9935581,,24.2999992371,404.780018217,,,,0.0,0.0,0.0,0.0,0.0,0.02652,0,"9,075,399",59.169,92.1,3.01952537,28.2081261661,,24.2999992371,399.973587804,,,,0.0,0.0,0.0,0.0,0.0,0.02639,0,"9,212,634",59.516,88.9,4.1604993,27.7879268839,,24.2999992371,380.180230833,,,,0.0,0.0,0.0,0.0,0.0,0.02686,0,"9,347,262",59.902,85.8,4.17099326,36.6952376001,,24.2999992371,381.418050543,,,,0.0,0.0,0.0,0.0,0.0,0.02719,0,"9,479,136",60.31,83,6.97834329,37.0286912225,,24.2999992371,384.585520811,,,,0.0,0.0,0.0,0.0,0.0,0.02785,0,"9,608,453",60.718,80,8.24446187,25.2902314244,,24.2999992371,392.09422969,,,,0.0,0.0,0.0,0.0,0.0,0.02907,0,"9,736,332",61.106,77.5,8.92405727,23.5201511206,,24.2999992371,390.209978087,,,,0.0,0.0,0.0,0.0,0.0,0.03579,0,"9,864,241",61.466,74.8,8.72953902,35.6844485045,,24.2999992371,396.233607093,,,,0.0,0.0,0.0,0.0,0.0,0.03339,0,"9,993,247",61.795,160.7,9.95345094,24.4164884547,,24.2999992371,369.935474424,,,,0.0,0.0,0.0,0.0,0.0,0.03097
Moldova,MD,,"4,106,736",66.993,23.8,11.43160454,1004.78405798,18507,86.0999984741,354.001668032,,,,0.0,0.0,0.0,0.0,0.0,0.11014,0.006581375,"4,040,204",67.181,22.9,13.08196155,1123.23968872,10459,86.0999984741,376.436435083,,,,0.0,0.0,0.0,0.0,0.0,0.10728,0.0115372121,"3,968,812",67.376,22,18.5372301,1184.35830054,9108,86,406.739425816,,,,0.0,0.0,0.0,0.0,0.0,0.11896,0.0165242637,"3,896,409",67.556,21.1,21.74744774,1365.39686327,7181,86.1999969482,434.807140592,,,,0.0,0.0,0.0,0.0,0.0,0.1305,0.0673985706,"3,827,906",67.717,20.5,30.14881629,1435.65337212,6717,86.1999969482,468.184492671,,,,0.0,0.0,0.0,0.0,0.0,0.12268,0.2891369616,"3,766,876",67.868,19.6,34.7142177,1534.27559439,12469,86.25,504.530065152,,,,0.0,0.0,0.0,0.0,0.0,0.1293,0.6077779513,"3,714,961",68.025,19.1,44.8478256,1615.66523126,16572,85.5,530.094708127,,,,0.0,0.0,0.0,0.0,0.0,0.13827,1.4687841776,"3,671,540",68.211,18.5,60.53275693,1342.78135505,16982,85.6997255978,547.673773792,,,,0.0,0.0,0.0,0.0,0.0,0.12851,3.2247492862,"3,635,059",68.438,17.7,91.41377875,1328.25150619,15389,85.8,591.323461623,,,,0.0,0.00996,0.0,21.099762,374042.632418,0.13351,5.2437974727,"3,602,853",68.704,16.8,92.42500552,996.745851964,15482,85.8,556.607879836,,,,0.0,0.02464,0.0,52.198608,478408.323888,0.11866,7.5538180797,"3,572,885",69.002,16.6,87.19891761,1049.11144163,14936,85.8,596.686611681,,,,0.0,0.01731,0.0,36.6703695,521823.347898,0.1186
Iceland,IS,0.8385341655,"281,210",79.72,3.89,2472.91808659,26201.5255774,257,29.5,30928.6756417,0.200000003,,,0.0,0.0,0.0,0.0,0.0,0.1199,3.6579545774,"283,992",80.64,3.26,2176.25976139,26950.3944303,138,30.6000003815,31717.1459641,0.3000000119,,,0.0,0.0,0.0,0.0,0.0,0.12267,8.4410638453,"286,783",80.5,3.5,2657.86995058,27896.8986829,148,31.5,31478.9821975,0.3000000119,,,0.0,0.0,0.0,0.0,0.0,0.12659,14.3585439398,"289,724",81.06,2.9,3301.29386889,27666.3868942,240,31.5,32022.7839796,0.200000003,,,0.0,0.0,0.0,0.0,0.0,0.12829,19.0924217835,"293,004",80.95,3.1,3714.65474225,28215.4522484,672,34.4000015259,34230.183362,0.3000000119,,,0.0,0.0,0.0,0.0,0.0,0.12972,26.291897794,"296,743",81.43,2.99,4346.9630996,27988.0296832,657,35.3899993896,36128.5924399,0.3000000119,,,0.0,0.0,0.0,0.0,0.0,0.1306,28.8818955698,"301,010",81.12,2.3,4236.16167949,31328.3868037,638,35.8600006104,36952.1920697,0.200000003,,,0.0,0.0,0.0,0.0,0.0,0.14327,31.4337893095,"305,721",81.31,3.29,5120.75438417,36852.5448862,598,36.6416309013,38185.3336752,0.1000000015,,,0.0,0.0,0.0,0.0,0.0,0.16695,32.669321454,"310,666",81.846,3.59,4117.22835112,50067.1047906,365,37.343,37927.1190445,0.1000000015,,,0.0,0.0,0.0,0.0,0.0,0.20929,33.6176879676,"315,543",81.523,2.18,3039.10149348,51259.187627,167,38.413,35310.9744146,0.1000000015,,,0.0,0.0,0.0,0.0,0.0,0.2039,34.3433962264,"320,136",81.663,3.29,3003.52769674,51439.908691,294,38.413,33943.1185326,0.1000000015,,,0.0,0.0,0.0,0.0,0.0,0.20542
United Kingdom,GB,0.0898076791,"58,874,117",78.04,6.32,1392.93520146,6114.52925919,1503,100,25057.6135305,1.6000000238,,,33730.7276,2567.02346,3825.67395,10198125.9534,35916004426.3,9.72953,0.5599245855,"59,097,129",78.31,6.28,1438.30007983,6143.1996638,1825,100,25686.6502776,1.2999999523,,,34737.13787,2594.6937,3689.35805,10148305.6378,41001038778.0,9.88122,2.2864938934,"59,339,971",78.43,6,1639.44419102,6147.39193864,2196,100,26214.9673501,1.1000000238,,,32561.17525,2562.00667,3658.28085,9987708.43449,30657638022.3,9.93362,5.2272920648,"59,604,347",78.52,6.27,1941.45650392,6182.98020025,3073,100,27105.1827076,1.1000000238,,,30599.06103,2391.72825,3632.14775,9546498.45174,39331061792.4,9.97878,10.229038396,"59,891,788",79.1,5.87,2392.0480206,6151.06274207,23717,100,27752.9115822,1,,,27045.20921,2074.36696,3425.555,8569149.98153,35822128835.8,10.0282,16.4363086818,"60,202,727",79.3,5.82,2554.01138204,6289.40404412,720,100,28354.0395831,1,,,22055.04568,1862.36098,3117.96135,7674204.73342,38659174403.8,9.84516,21.4751452712,"60,538,143",79.53,5.88,2778.88425784,6226.25736456,10436,100,28913.0962918,1.2000000477,,,19928.68707,1692.59932,2818.8433,6956554.96129,45123361974.4,9.72933,25.5892072378,"60,896,101",79.344,5.69,3156.50193662,6152.34655703,66772,100,29771.3033482,1.2999999523,,,18232.22989,1690.68402,2553.2745,6639936.83012,47406631146.9,9.5617,28.1365569504,"61,270,318",79.499,5.53,3130.58683652,6060.68839088,7023,100,29287.7604171,1.2999999523,,,19405.08917,1588.00842,2468.5185,6370155.90736,60652178759.3,9.28732,29.5416625257,"61,652,315",79.85,5.3,2894.52794281,5700.11561206,8076,100,27933.7776714,1.2999999523,,,19151.55756,1509.52596,2087.1165,5815469.91437,30377571972.4,8.78542,31.4626285512,"62,035,570",80.018,5.3,2938.4240049,5736.03304933,12052,100,28244.3369363,1.2999999523,,,19639.88149,1405.86672,1988.2345,5510517.57026,43584648864.3,8.91468
